word,count,rank
wrote,175845,1105
stuck,175764,1106
feels,175727,1107
picked,175499,1108
ho,175293,1109
sleeping,175037,1110
rid,174835,1111
shoes,174652,1112
laugh,174410,1113
named,174298,1114
folks,173985,1115
shh,173700,1116
planet,173580,1117
teacher,173414,1118
grand,173090,1119
staying,172864,1120
gives,172786,1121
upstairs,172638,1122
ray,172625,1123
hadn't,172491,1124
search,172375,1125
queen,172196,1126
johnny,172139,1127
holding,171907,1128
shop,171854,1129
lots,171719,1130
partner,171549,1131
moon,171211,1132
putting,171184,1133
jimmy,170899,1134
cat,170525,1135
paris,170494,1136
man's,170446,1137
west,170350,1138
books,169780,1139
decision,169653,1140
self,169622,1141
seriously,169351,1142
silly,169252,1143
arm,169235,1144
gift,169081,1145
rules,169030,1146
girlfriend,168584,1147
nose,168416,1148
low,167774,1149
destroy,167609,1150
action,167251,1151
figured,167230,1152
innocent,167195,1153
smoke,167032,1154
price,166702,1155
match,166657,1156
department,166418,1157
guard,166353,1158
glass,166120,1159
kick,166100,1160
grab,166044,1161
blame,165907,1162
suit,165837,1163
father's,165657,1164
mission,165592,1165
patient,165416,1166
begin,165359,1167
computer,165122,1168
continue,164897,1169
listening,164830,1170
they'd,164672,1171
address,164595,1172
type,164492,1173
indeed,164323,1174
lt's,163476,1175
usually,163377,1176
battle,163305,1177
race,163106,1178
grow,162985,1179
pictures,161902,1180
obviously,161853,1181
suddenly,161579,1182
further,161569,1183
ma,161537,1184
notice,161412,1185
she'd,161186,1186
lock,160909,1187
breakfast,160574,1188
relationship,160570,1189
crying,160224,1190
gas,160189,1191
passed,160166,1192
guilty,160039,1193
guns,159989,1194
majesty,159843,1195
waste,159809,1196
magic,159624,1197
became,159554,1198
flight,158936,1199
press,158900,1200
allow,158823,1201
prince,158794,1202
awful,158753,1203
brothers,158365,1204
feelings,158279,1205
beg,157999,1206
boyfriend,157985,1207
smile,157922,1208
twice,157779,1209
surprised,157760,1210
henry,157702,1211
aye,157675,1212
billy,157539,1213
admit,157495,1214
closed,157337,1215
pardon,157273,1216
legs,157130,1217
burn,156916,1218
ourselves,156898,1219
max,156722,1220
decide,156609,1221
hole,156356,1222
spot,156154,1223
nervous,155993,1224
learned,155967,1225
ms,155904,1226
mention,155487,1227
leg,155357,1228
plenty,154908,1229
locked,154850,1230
names,154789,1231
would've,154328,1232
empty,154294,1233
warm,154110,1234
cell,153838,1235
steve,153811,1236
kitchen,153693,1237
summer,153677,1238
arrived,153511,1239
fit,153480,1240
however,153248,1241
fellow,153137,1242
london,153049,1243
everywhere,152789,1244
cost,152779,1245
risk,152693,1246
knock,152336,1247
steal,152245,1248
sweetheart,151854,1249
inspector,151800,1250
herself,151706,1251
complete,151693,1252
lay,151665,1253
goin,151432,1254
chicken,151406,1255
reading,151345,1256
heaven,151210,1257
roll,151102,1258
support,151031,1259
witness,150992,1260
fired,150616,1261
hat,150255,1262
laughing,149974,1263
neck,149920,1264
raise,149881,1265
camera,149758,1266
danger,149699,1267
flying,149682,1268
fresh,149354,1269
papers,149290,1270
experience,149286,1271
outta,149254,1272
final,149250,1273
wild,149250,1274
bunch,149078,1275
weapon,149055,1276
otherwise,148862,1277
bomb,148541,1278
shooting,148461,1279
hm,147935,1280
everything's,147889,1281
drinking,147616,1282
hardly,147432,1283
spirit,147247,1284
treat,147008,1285
flowers,146906,1286
worst,146647,1287
command,146594,1288
choose,146585,1289
taste,146045,1290
asleep,145749,1291
extra,145664,1292
nick,145496,1293
mister,145383,1294
interest,145333,1295
themselves,145137,1296
plans,145009,1297
sold,144789,1298
level,144651,1299
memory,144613,1300
allowed,144467,1301
excellent,144389,1302
pop,144349,1303
ways,144282,1304
alex,144174,1305
form,144153,1306
how'd,144119,1307
sky,144106,1308
played,143947,1309
stole,143893,1310
whom,143849,1311
don,143663,1312
ridiculous,143432,1313
written,143348,1314
god's,143277,1315
places,143244,1316
that'll,143231,1317
mate,143068,1318
cup,142690,1319
beauty,142596,1320
hall,142589,1321
medical,142394,1322
writing,142383,1323
apart,142351,1324
keeping,142207,1325
roger,142184,1326
heavy,141990,1327
sheriff,141834,1328
mommy,141808,1329
weapons,141808,1330
hero,141736,1331
crap,141706,1332
necessary,141654,1333
hiding,141311,1334
lights,141064,1335
bobby,140975,1336
blind,140951,1337
wondering,140936,1338
van,140658,1339
bridge,140645,1340
camp,140586,1341
rose,140397,1342
bottle,140324,1343
above,139901,1344
eddie,139891,1345
acting,139876,1346
tape,139851,1347
bullshit,139739,1348
bird,139537,1349
emergency,139315,1350
yep,138996,1351
doin,138957,1352
consider,138937,1353
princess,138792,1354
losing,138662,1355
helped,138652,1356
seemed,138538,1357
according,138436,1358
rain,138350,1359
danny,138302,1360
beach,138214,1361
code,138136,1362
asshole,137636,1363
study,137543,1364
track,137506,1365
east,137484,1366
speed,137444,1367
closer,137359,1368
strength,136984,1369
responsible,136734,1370
keeps,136706,1371
dogs,136478,1372
nor,136374,1373
main,136333,1374
bigger,136259,1375
drugs,136242,1376
build,135791,1377
simply,135391,1378
sight,135347,1379
correct,135325,1380
tight,135161,1381
corner,134885,1382
favorite,134673,1383
dick,134415,1384
stone,134409,1385
knife,134357,1386
shame,134271,1387
following,134225,1388
gotten,133689,1389
helping,133598,1390
faith,133470,1391
stage,133404,1392
faster,133157,1393
mother's,132980,1394
due,132840,1395
twenty,132548,1396
note,132433,1397
earlier,132008,1398
willing,131624,1399
military,131255,1400
famous,130919,1401
tells,130858,1402
trick,130828,1403
suspect,130747,1404
should've,130635,1405
crew,130570,1406
cook,130568,1407
angel,130539,1408
keys,130247,1409
built,130098,1410
color,129981,1411
itself,129895,1412
richard,129893,1413
bucks,129805,1414
huge,129710,1415
justice,129603,1416
could've,129396,1417
milk,129383,1418
bathroom,129217,1419
apologize,129147,1420
operation,129127,1421
beyond,128998,1422
large,128900,1423
cousin,128540,1424
pregnant,128528,1425
possibly,128199,1426
animal,128009,1427
weekend,127823,1428
leaves,127686,1429
knowing,127597,1430
lee,127495,1431
walked,127387,1432
pressure,127302,1433
pal,127212,1434
ill,127168,1435
copy,127027,1436
cars,126933,1437
charles,126874,1438
skin,126718,1439
dressed,126661,1440
turns,126605,1441
account,126572,1442
states,126441,1443
serve,126065,1444
dancing,125605,1445
energy,125534,1446
checked,125533,1447
showed,125517,1448
bottom,125437,1449
mum,125349,1450
pants,125164,1451
common,125095,1452
murdered,125056,1453
strike,124949,1454
held,124758,1455
belong,124561,1456
jerry,124445,1457
somehow,124355,1458
dumb,124158,1459
forgotten,124134,1460
papa,124093,1461
tommy,124093,1462
lies,123984,1463
devil,123793,1464
hanging,123076,1465
file,123063,1466
rule,122914,1467
hoping,122898,1468
nature,122892,1469
al,122789,1470
size,122657,1471
taught,122639,1472
advice,122625,1473
lt,122596,1474
dropped,122579,1475
victim,122419,1476
guy's,122243,1477
heads,122140,1478
several,122007,1479
health,121956,1480
practice,121951,1481
among,121808,1482
nonsense,121773,1483
sarah,121683,1484
pulled,121680,1485
whoever,121518,1486
apparently,121351,1487
singing,121341,1488
er,121324,1489
whoo,121316,1490
sword,121272,1491
perfectly,121177,1492
animals,121139,1493
greatest,120970,1494
dry,120932,1495
tie,120929,1496
trial,120631,1497
condition,120593,1498
leader,120426,1499
oil,120372,1500
understood,120353,1501
prepare,120335,1502
pack,120258,1503
grace,120017,1504
cards,119976,1505
feed,119878,1506
shirt,119872,1507
deserve,119815,1508
base,119804,1509
meat,119130,1510
discuss,119127,1511
hearing,119038,1512
concerned,118750,1513
agreed,118711,1514
noticed,118577,1515
local,118537,1516
post,118435,1517
soldiers,117993,1518
director,117892,1519
prepared,117768,1520
chair,117630,1521
ticket,117610,1522
breathe,117521,1523
remain,117471,1524
teeth,117262,1525
what'd,117126,1526
drug,117077,1527
martin,117025,1528
horses,116968,1529
center,116925,1530
united,116923,1531
stories,116871,1532
stars,116821,1533
nuts,116820,1534
destroyed,116808,1535
guest,116757,1536
games,116704,1537
cake,116662,1538
ex,116576,1539
brown,116482,1540
fill,116193,1541
surely,116124,1542
mountain,115794,1543
opinion,115323,1544
cream,115275,1545
band,115192,1546
program,115086,1547
breath,115071,1548
spoke,114999,1549
usual,114977,1550
recognize,114725,1551
bringing,114717,1552
larry,114702,1553
stolen,114639,1554
robert,114566,1555
natural,114464,1556
settle,114360,1557
suggest,114350,1558
shows,114157,1559
gate,113907,1560
heh,113807,1561
afford,113734,1562
st,113363,1563
wash,113333,1564
starts,113229,1565
although,113221,1566
nearly,113109,1567
it'd,113016,1568
